lesson 1 - 자기소개	Lesson 1 - Self-Introduction
차를 마셔요.	I drink tea.
커피	coffee
커피를 마셔요.	I drink coffee.
밥	rice/meal
밥을 먹어요.	I eat rice.
카메라	camera
카메라로 사진을 찍어요.	I take pictures with a camera.
우산	umbrella
비가 와서 우산을 써요.	It's raining so I use an umbrella.
시계	clock/watch
시계를 봐요.	I look at the clock.
모자	hat
모자를 써요.	I wear a hat.
노트	notebook
노트에 써요.	I write in a notebook.
컴퓨터	computer
컴퓨터를 사용해요.	I use a computer.
가방	bag
가방을 들어요.	I carry a bag.
빵	bread
빵을 먹어요.	I eat bread.
가족	family
가족과 함께 살아요.	I live with my family.
친구	friend
친구와 놀아요.	I play with my friend.
집	house/home
집에 있어요.	I am at home.
커피숍	coffee shop
커피숍에서 만나요.	Let's meet at the coffee shop.
도서관	library
도서관에서 공부해요.	I study at the library.
극장	theater
극장에서 영화를 봐요.	I watch a movie at the theater.
영화관	cinema
영화관에 가요.	I go to the cinema.
슈퍼마켓	supermarket
슈퍼마켓에서 장을 봐요.	I shop at the supermarket.
우체국	post office
우체국에 가요.	I go to the post office.
병원	hospital
병원에 가요.	I go to the hospital.
식당	restaurant
식당에서 밥을 먹어요.	I eat at a restaurant.
회사	company
회사에 다녀요.	I go to the company.
은행	bank
은행에 가요.	I go to the bank.
약국	pharmacy
약국에서 약을 사요.	I buy medicine at the pharmacy.
백화점	department store
백화점에서 쇼핑해요.	I shop at the department store.
꽃가게	flower shop
꽃가게에서 꽃을 사요.	I buy flowers at the flower shop.
학교	school
학교에 다녀요.	I go to school.
박물관	museum
박물관을 구경해요.	I visit the museum.
편의점	convenience store
편의점에서 음료를 사요.	I buy a drink at the convenience store.
lesson 3 - 물건 사기	Buying Things
콜라	cola
콜라를 마셔요.	I drink cola.
커피	coffee
커피를 마셔요.	I drink coffee.
맥주	beer
맥주를 마셔요.	I drink beer.
물	water
물을 마셔요.	I drink water.
주스	juice
주스를 마셔요.	I drink juice.
소주	soju
소주를 마셔요.	I drink soju.
막걸리	rice wine
막걸리를 마셔요.	I drink rice wine.
우유	milk
우유를 마셔요.	I drink milk.
빵	bread
빵을 먹어요.	I eat bread.
계란	egg
계란을 먹어요.	I eat an egg.
시계	clock/watch
시계를 봐요.	I look at the clock.
라면.instant noodles
라면을 끓여요.	I cook instant noodles.
바나나	banana
바나나를 먹어요.	I eat a banana.
배	pear
배를 먹어요.	I eat a pear.
구두	leather shoes
구두를 신어요.	I wear leather shoes.
운동화	sneakers
운동화를 신어요.	I wear sneakers.
바지	pants
바지를 입어요.	I wear pants.
칫솔	toothbrush
칫솔로 이를 닦아요.	I brush my teeth with a toothbrush.
휴지	toilet paper
휴지를 사용해요.	I use toilet paper.
티슈	tissue
티슈로 닦아요.	I wipe with a tissue.
비누	soap
비누로 손을 씻어요.	I wash my hands with soap.
치약	toothpaste
치약을 짜요.	I squeeze toothpaste.
과자	snacks
과자를 먹어요.	I eat snacks.
꽃	flower
꽃을 사요.	I buy flowers.
사과	apple
사과를 먹어요.	I eat an apple.
양말	socks
양말을 신어요.	I wear socks.
오이	cucumber
오이를 먹어요.	I eat a cucumber.
오렌지	orange
오렌지를 먹어요.	I eat an orange.
일	one
사과 한 개.	One apple.
이	two
책 두 권.	Two books.
삼	three
세 명.	Three people.
사	four
네 개.	Four things.
오	five
다섯 번.	Five times.
육	six
여섯 명.	Six people.
칠	seven
일곱 시.	Seven o'clock.
팔	eight
여덟 개.	Eight things.
구	nine
아홉 번.	Nine times.
십	ten
열 명.	Ten people.
하나	one (native)
사과 하나.	One apple.
둘	two (native)
책 두 권.	Two books.
셋	three (native)
세 명.	Three people.
넷	four (native)
네 개.	Four things.
다섯	five (native)
다섯 번.	Five times.
여섯	six (native)
여섯 명.	Six people.
일곱	seven (native)
일곱 시.	Seven o'clock.
여덟	eight (native)
여덟 개.	Eight things.
아홉	nine (native)
아홉 번.	Nine times.
열	ten (native)
열 명.	Ten people.
개	item, thing
사과 한 개.	One apple.
잔	cup, glass
커피 한 잔.	A cup of coffee.
마리	animal
강아지 한 마리.	One puppy.
대	machine
자동차 한 대.	One car.
그릇	bowl
밥 한 그릇.	A bowl of rice.
병	bottle
물 한 병.	A bottle of water.
권	book
책 한 권.	One book.
송이	bunch
꽃 한 송이.	One flower.
봉지	bag
과자 한 봉지.	A bag of snacks.
박스	box
사과 한 박스.	A box of apples.
명	person
두 명.	Two people.
사람	person
세 사람.	Three people.
통	container
김치 한 통.	A container of kimchi.
쌍	pair
신발 한 쌍.	A pair of shoes.
켤레	pair (shoes, socks)
양말 한 켤레.	A pair of socks.
lesson 4 - 일상생활 2	Daily Life – Part 2
봄	spring
봄에는 꽃이 피어요.	Flowers bloom in spring.
여름	summer
여름에는 날씨가 더워요.	The weather is hot in summer.
가을	autumn
가을에는 단풍이 들어요.	Leaves change color in autumn.
겨울	winter
겨울에는 눈이 와요.	It snows in winter.
1월	January
1월에 새해가 시작돼요.	The new year starts in January.
2월	February
2월은 짧은 달이에요.	February is a short month.
3월	March
3월에 학교가 시작해요.	School starts in March.
4월	April
4월에는 날씨가 따뜻해요.	The weather is warm in April.
5월	May
5월에 꽃이 많아요.	There are many flowers in May.
6월	June
6월에 여름이 시작돼요.	Summer starts in June.
7월	July
7월에는 비가 많이 와요.	It rains a lot in July.
8월	August
8월은 아주 더워요.	August is very hot.
9월	September
9월에 학교에 가요.	I go to school in September.
10월	October
10월에는 단풍이 예뻐요.	The autumn leaves are beautiful in October.
11월	November
11월에 날씨가 쌀쌀해요.	The weather is chilly in November.
12월	December
12월에 크리스마스가 있어요.	Christmas is in December.
월요일	Monday
월요일에 학교에 가요.	I go to school on Monday.
화요일	Tuesday
화요일에 수업이 있어요.	I have class on Tuesday.
수요일	Wednesday
수요일에 친구를 만나요.	I meet a friend on Wednesday.
목요일	Thursday
목요일에 운동해요.	I exercise on Thursday.
금요일	Friday
금요일에 영화를 봐요.	I watch a movie on Friday.
토요일	Saturday
토요일에 쉬어요.	I rest on Saturday.
일요일	Sunday
일요일에 가족과 함께 있어요.	I am with my family on Sunday.
아침	morning
아침에 밥을 먹어요.	I eat breakfast in the morning.
점심	noon/lunch
점심에 친구와 밥을 먹어요.	I eat lunch with a friend.
저녁	evening
저녁에 산책해요.	I take a walk in the evening.
밤	night
밤에 자요.	I sleep at night.
새벽	dawn
새벽에 일어나요.	I wake up at dawn.
오전	a.m.
오전에 공부해요.	I study in the morning.
오후	p.m.
오후에 운동해요.	I exercise in the afternoon.
하루	one day
하루에 한 번 운동해요.	I exercise once a day.
낮	daytime
낮에는 덥고 밤에는 추워요.	It's hot during the day and cold at night.
수업이 있다	to have class
오늘 수업이 있어요.	I have class today.
수업이 없다	to not have class
내일은 수업이 없어요.	There is no class tomorrow.
수업이 시작되다	class starts
수업이 아침에 시작돼요.	Class starts in the morning.
수업이 끝나다	class ends
수업이 오후에 끝나요.	Class ends in the afternoon.
일어나다	to wake up
아침에 일어나요.	I wake up in the morning.
자다	to sleep
밤에 자요.	I sleep at night.
가다	to go
학교에 가요.	I go to school.
오다	to come
친구가 집에 와요.	A friend comes home.
출근하다	to go to work
아침에 출근해요.	I go to work in the morning.
퇴근하다	to leave work
저녁에 퇴근해요.	I leave work in the evening.
양치하다	to brush teeth
아침마다 양치해요.	I brush my teeth every morning.
세수하다	to wash face
세수하고 학교에 가요.	I wash my face and go to school.
목욕하다	to take a bath
저녁에 목욕해요.	I take a bath in the evening.
요리하다	to cook
저녁을 요리해요.	I cook dinner.
일하다	to work
회사에서 일해요.	I work at a company.
샤워하다	to take a shower
운동 후에 샤워해요.	I take a shower after exercising.
빨래하다	to do laundry
주말에 빨래해요.	I do laundry on weekends.
손을 씻다	to wash hands
밥 먹기 전에 손을 씻어요.	I wash my hands before eating.
lesson 5 - 위치	Location
위	above
책이 책상 위에 있어요.	The book is on the desk.
안	inside
고양이가 상자 안에 있어요.	The cat is inside the box.
앞	in front
학교 앞에 버스 정류장이 있어요.	There is a bus stop in front of the school.
뒤	behind
식당 뒤에 주차장이 있어요.	There is a parking lot behind the restaurant.
옆	beside
은행 옆에 약국이 있어요.	There is a pharmacy beside the bank.
오른쪽	right
오른쪽으로 가세요.	Go to the right.
왼쪽	left
왼쪽에 문이 있어요.	There is a door on the left.
맞은편	opposite
학교 맞은편에 서점이 있어요.	There is a bookstore opposite the school.
이쪽	this side
이쪽으로 오세요.	Come this way.
저쪽	that side
저쪽에 화장실이 있어요.	The restroom is that way.
컴퓨터	computer
컴퓨터가 책상 위에 있어요.	The computer is on the desk.
시계	clock
시계가 벽에 있어요.	The clock is on the wall.
모자	hat
모자가 침대 위에 있어요.	The hat is on the bed.
옷장	wardrobe
옷장이 방에 있어요.	The wardrobe is in the room.
침대	bed
침대 위에 고양이가 있어요.	The cat is on the bed.
우산	umbrella
우산이 문 옆에 있어요.	The umbrella is next to the door.
창문	window
창문이 열려 있어요.	The window is open.
책	book
책이 책상 위에 있어요.	The book is on the desk.
교재	textbook
교재가 가방 안에 있어요.	The textbook is in the bag.
칠판	board
칠판에 글씨를 써요.	I write on the board.
장난감	toy
장난감이 바닥에 있어요.	The toy is on the floor.
에어컨	air conditioner
에어컨이 벽에 있어요.	The air conditioner is on the wall.
거울	mirror
거울이 화장실에 있어요.	The mirror is in the bathroom.
가방	bag
가방이 의자 위에 있어요.	The bag is on the chair.
사전	dictionary
사전이 책상 위에 있어요.	The dictionary is on the desk.
상자	box
상자 안에 장난감이 있어요.	There are toys inside the box.
문	door
문이 열려 있어요.	The door is open.
필통	pencil case
필통이 가방 안에 있어요.	The pencil case is in the bag.
책상	desk
책상이 방에 있어요.	The desk is in the room.
문방구	stationery store
문방구에서 연필을 샀어요.	I bought a pencil at the stationery store.
이발소	barbershop
이발소에서 머리를 잘랐어요.	I got a haircut at the barbershop.
미용실	hair salon
미용실에 갔어요.	I went to the hair salon.
서점	bookstore
서점에서 책을 샀어요.	I bought a book at the bookstore.
버스정류장	bus stop
버스정류장에서 버스를 기다려요.	I wait for the bus at the bus stop.
지하철역	subway station
지하철역에서 내렸어요.	I got off at the subway station.
집	home
집에 있어요.	I am at home.
병원	hospital
병원에 갔어요.	I went to the hospital.
식당	restaurant
식당에서 밥을 먹었어요.	I ate at the restaurant.
이름이 뭐예요?	What is your name?
영화가 재미있어요.	The movie is interesting.
아이돌이 BTS예요.	My idol is BTS.
책이 책상 위에 있어요.	The book is on the desk.
고양이가 침대 위에 없어요.	The cat is not on the bed.
식당이 병원 옆에 있어요.	The restaurant is next to the hospital.
밖으로 나가요.	I go outside.
안으로 들어가요.	I go inside.
오른쪽으로 가요.	I go to the right.
길을 건너가요.	I cross the street.
lesson 7 - 약속	Promise
월요일	Monday
월요일에 학교에 가요.	I go to school on Monday.
화요일	Tuesday
화요일에 수업이 있어요.	I have class on Tuesday.
수요일	Wednesday
수요일에 친구를 만나요.	I meet a friend on Wednesday.
목요일	Thursday
목요일에 운동해요.	I exercise on Thursday.
금요일	Friday
금요일에 영화를 봐요.	I watch a movie on Friday.
토요일	Saturday
토요일에 쉬어요.	I rest on Saturday.
일요일	Sunday
일요일에 가족과 함께 있어요.	I am with my family on Sunday.
이번 주	this week
이번 주에 약속이 있어요.	I have an appointment this week.
다음 주	next week
다음 주에 여행을 갈 거예요.	I will travel next week.
지난 주	last week
지난 주에 친구를 만났어요.	I met a friend last week.
평일	weekday
평일에는 학교에 가요.	I go to school on weekdays.
주말	weekend
주말에 영화를 봐요.	I watch a movie on the weekend.
약속	promise, appointment
약속이 있어요.	I have an appointment.
약속이 있다	to have an appointment
오늘 약속이 있어요.	I have an appointment today.
약속이 없다	to not have an appointment
내일은 약속이 없어요.	I have no appointment tomorrow.
약속을 지키다	to keep a promise
약속을 꼭 지켜요.	I always keep my promises.
약속을 안 지키다	to break a promise
약속을 안 지켰어요.	I broke a promise.
약속하다	to promise
친구와 약속했어요.	I made a promise with a friend.
약속을 취소하다	to cancel a promise
약속을 취소했어요.	I canceled the appointment.
시간이 있다	to have time
지금 시간이 있어요.	I have time now.
시간이 없다	to not have time
오늘 시간이 없어요.	I don't have time today.
일이 있다	to have something to do
오늘 일이 있어요.	I have something to do today.
일이 없다	to have nothing to do
내일은 일이 없어요.	I have nothing to do tomorrow.
바쁘다	to be busy
요즘 바빠요.	I am busy these days.
한가하다	to be free
주말에 한가해요.	I am free on weekends.
시간이 많다	to have a lot of time
방학에는 시간이 많아요.	I have a lot of time during vacation.
등산	hiking
등산을 좋아해요.	I like hiking.
수영	swimming
수영을 할 수 있어요.	I can swim.
연극	play, drama
연극을 봤어요.	I watched a play.
음악회	concert
음악회에 갔어요.	I went to a concert.
외식하다	to eat out
가족과 외식해요.	I eat out with my family.
전화하다	to call
친구에게 전화해요.	I call my friend.
전화를 받다	to answer the phone
전화를 받았어요.	I answered the phone.
일기	diary
일기를 써요.	I write a diary.
꼭	definitely
꼭 오세요.	Please come for sure.
듣다	to listen
음악을 들어요.	I listen to music.
보다	to see/watch
영화를 봐요.	I watch a movie.
읽을 거예요	will read
책을 읽을 거예요.	I will read a book.
마실 거예요	will drink
물을 마실 거예요.	I will drink water.
만들 거예요	will make
저녁을 만들 거예요.	I will make dinner.
같이 갈까요?	Shall we go together?
점심 먹을까요?	Shall we eat lunch?
오늘 갈까요, 내일 갈까요?	Should we go today or tomorrow?
영화를 보고 싶어요.	I want to watch a movie.
동생이 선물을 받고 싶어해요.	My younger sibling wants to receive a gift.
lesson 8 - 날씨	Weather
봄	spring
봄에는 꽃이 피어요.	Flowers bloom in spring.
여름	summer
여름에는 날씨가 더워요.	The weather is hot in summer.
가을	autumn
가을에는 단풍이 들어요.	Leaves change color in autumn.
겨울	winter
겨울에는 눈이 와요.	It snows in winter.
날씨	weather
오늘 날씨가 좋아요.	The weather is nice today.
바람이 불다	wind blows
바람이 불어요.	The wind blows.
하늘	sky
하늘이 맑아요.	The sky is clear.
맑다	clear
오늘은 하늘이 맑아요.	The sky is clear today.
흐리다	cloudy
내일은 흐릴 거예요.	It will be cloudy tomorrow.
기온	temperature
기온이 높아요.	The temperature is high.
영상	above zero
오늘 기온은 영상 10도예요.	Today's temperature is 10 degrees above zero.
영하	below zero
기온이 영하예요.	The temperature is below zero.
안개	fog
아침에 안개가 꼈어요.	There was fog in the morning.
비 / 비가 내리다	rain / it rains
비가 내려요.	It rains.
눈 / 눈이 오다	snow / it snows
눈이 와요.	It snows.
구름	cloud
구름이 많아요.	There are many clouds.
도	degree
오늘은 20도예요.	Today is 20 degrees.
일기예보	weather forecast
일기예보를 봐요.	I watch the weather forecast.
벚꽃	cherry blossom
벚꽃이 피었어요.	Cherry blossoms have bloomed.
꽃이 피다	flowers bloom
봄에 꽃이 피어요.	Flowers bloom in spring.
시원하다	cool
바람이 시원해요.	The wind is cool.
꽃구경하다	to see flowers
봄에 꽃구경해요.	I go to see flowers in spring.
따뜻하다	warm
오늘은 따뜻해요.	It is warm today.
땀이 나다	to sweat
운동하면 땀이 나요.	I sweat when I exercise.
햇빛	sunlight
햇빛이 강해요.	The sunlight is strong.
덥다	hot
여름에는 날씨가 덥다.	The weather is hot in summer.
바닷가에 가다	to go to the beach
여름에 바닷가에 가요.	I go to the beach in summer.
선크림	sunscreen
선크림을 발라요.	I put on sunscreen.
눈부시다	dazzling
햇빛이 눈부셔요.	The sunlight is dazzling.
단풍	autumn leaves
가을에는 단풍이 들어요.	Leaves change color in autumn.
낙엽	fallen leaves
가을에 낙엽이 떨어져요.	Leaves fall in autumn.
쌀쌀하다	chilly
아침에는 쌀쌀해요.	It is chilly in the morning.
소풍 가다	to go on a picnic
주말에 소풍 가요.	I go on a picnic on the weekend.
산책하다	to take a walk
공원에서 산책해요.	I take a walk in the park.
단풍이 들다	leaves change color
가을에 단풍이 들어요.	Leaves change color in autumn.
춥다	cold
겨울에는 날씨가 추워요.	The weather is cold in winter.
하얗다	white
눈이 하얘요.	The snow is white.
첫눈	first snow
첫눈이 왔어요.	The first snow has fallen.
눈사람	snowman
눈사람을 만들어요.	I make a snowman.
눈싸움	snow fight
친구와 눈싸움해요.	I have a snow fight with my friend.
눈이 오다	it snows
오늘 눈이 와요.	It snows today.
눈이 내리다	snow falls
밤에 눈이 내렸어요.	It snowed at night.
바다가 예쁘고 사람들도 친절해요.	The sea is beautiful and the people are kind.
숙제를 하고 잤어요.	I did homework and then slept.
여름은 덥고 겨울은 추워요.	Summer is hot and winter is cold.
날씨가 좋아서 산책했어요.	Because the weather was nice, I took a walk.
이분이 선생님이지요?	This person is a teacher, right?
오늘은 정말 추워요.	It’s really cold today.
lesson 9 - 주말 활동	Weekend Activities
먼지를 털다	to dust
먼지를 털었어요.	I dusted.
청소하다	to clean
주말에 집을 청소해요.	I clean the house on weekends.
청소기	vacuum cleaner
청소기로 바닥을 청소해요.	I clean the floor with a vacuum cleaner.
걸레질하다	to mop
걸레질을 했어요.	I mopped.
세탁기	washing machine
세탁기로 빨래해요.	I do laundry with the washing machine.
빨래하다	to do laundry
주말에 빨래해요.	I do laundry on weekends.
빨래를 널다	to hang laundry
빨래를 널었어요.	I hung the laundry.
빨래를 개다	to fold laundry
빨래를 개었어요.	I folded the laundry.
다리미	iron
다리미로 옷을 다려요.	I iron clothes with an iron.
옷을 다리다	to iron clothes
옷을 다렸어요.	I ironed clothes.
텔레비전을 보다	to watch TV
저녁에 텔레비전을 봐요.	I watch TV in the evening.
소풍 가다	to go on a picnic
주말에 소풍 가요.	I go on a picnic on the weekend.
낚시하다	to go fishing
아버지와 낚시했어요.	I went fishing with my father.
집에서 쉬다	to rest at home
주말에 집에서 쉬어요.	I rest at home on weekends.
바닷가에 가다	to go to the beach
여름에 바닷가에 가요.	I go to the beach in summer.
산책하다	to take a walk
공원에서 산책해요.	I take a walk in the park.
걷다	to walk
아침에 걷기 운동해요.	I walk in the morning.
친구를 만나다	to meet a friend
주말에 친구를 만나요.	I meet a friend on weekends.
자다	to sleep
밤에 자요.	I sleep at night.
산	mountain
산에 올라가요.	I climb the mountain.
공원	park
공원에서 운동해요.	I exercise in the park.
수영장	swimming pool
수영장에서 수영해요.	I swim at the swimming pool.
민속촌	folk village
민속촌에 갔어요.	I went to the folk village.
운동장	sports field
운동장에서 축구해요.	I play soccer at the sports field.
박물관	museum
박물관을 구경해요.	I visit the museum.
미술관	art gallery
미술관에 갔어요.	I went to the art gallery.
해변	beach
해변에서 놀아요.	I play at the beach.
산에 가려고 해요.	I plan to go to the mountain.
책을 읽으려고 해요.	I intend to read a book.
청소하려고 해요.	I’m going to clean.
도서관에 가서 공부했어요.	I went to the library and studied.
시장에 가서 옷을 샀어요.	I went to the market and bought clothes.
학교에 가서 친구를 만났어요.	I went to school and met a friend.
만나 보세요.	Try meeting.
그 남자를 한번 만나 보세요.	Try meeting that man once.
공부해 봤어요.	I tried studying.
중국어를 공부해 봤어요.	I tried studying Chinese.
소개해 보세요.	Try introducing.
관광지를 소개해 보세요.	Try introducing a tourist spot.
밥을 지어 봤어요.	I tried cooking rice.
강아지를 키워 보세요.	Try raising a puppy.
침대에 누워 보세요.	Try lying on the bed.
lesson 10 - 교통	Transportation
버스	bus
버스를 타요.	I take the bus.
기차	train
기차를 탔어요.	I took the train.
자동차	car
자동차를 운전해요.	I drive a car.
지하철	subway
지하철을 타요.	I take the subway.
비행기	airplane
비행기를 탔어요.	I took the airplane.
자전거	bicycle
자전거를 타요.	I ride a bicycle.
오토바이	motorbike
오토바이를 탔어요.	I rode a motorbike.
택시	taxi
택시를 탔어요.	I took a taxi.
고속버스	express bus
고속버스를 탔어요.	I took the express bus.
버스 정류장	bus stop
버스 정류장에서 기다려요.	I wait at the bus stop.
공항	airport
공항에 갔어요.	I went to the airport.
지하철역	subway station
지하철역에서 내렸어요.	I got off at the subway station.
터미널	terminal
터미널에서 버스를 탔어요.	I took the bus at the terminal.
기차역	train station
기차역에서 만나요.	Let's meet at the train station.
광장	square
광장에서 행사가 있어요.	There is an event at the square.
시청	city hall
시청에 갔어요.	I went to city hall.
시장	market
시장에서 과일을 샀어요.	I bought fruit at the market.
고속도로	highway
고속도로를 달려요.	I drive on the highway.
걷다 / 걸어가다	to walk
학교까지 걸어가요.	I walk to school.
뛰다	to run
운동장에서 뛰어요.	I run at the sports field.
갈아타다	to transfer (transportation)
지하철을 갈아탔어요.	I transferred to another subway.
타다	to ride
자전거를 타요.	I ride a bicycle.
~으로 가다 / ~으로 오다	to go/come by (transportation)
버스로 학교에 가요.	I go to school by bus.
멀다	far
집이 멀어요.	My house is far.
가깝다	near
학교가 가까워요.	The school is near.
편리하다	convenient
지하철이 편리해요.	The subway is convenient.
불편하다	inconvenient
버스가 불편해요.	The bus is inconvenient.
행복하다	happy
여행이 행복해요.	Traveling is happy.
불행하다	unhappy
길이 막혀서 불행해요.	I'm unhappy because of traffic.
집에서 회사까지 자전거로 가요.	I go to work by bicycle.
서울에서 인천까지 기차로 가요.	I go from Seoul to Incheon by train.
오늘은 숙제를 다 해야 해요.	I have to finish all my homework today.
친구를 도와야 해요.	I must help my friend.
커피를 저어야 해요.	I have to stir the coffee.
lesson 11 - 전화	Phone Calls
휴대폰	mobile phone
휴대폰으로 전화해요.	I call with my mobile phone.
전화기	telephone
전화기로 통화해요.	I talk on the telephone.
이메일	email
이메일을 보냈어요.	I sent an email.
우표	stamp
우표를 붙였어요.	I put on a stamp.
편지	letter
편지를 썼어요.	I wrote a letter.
우체국	post office
우체국에 갔어요.	I went to the post office.
집 전화	home phone
집 전화로 전화했어요.	I called with the home phone.
공중전화	public phone
공중전화를 사용했어요.	I used a public phone.
국내 전화	domestic call
국내 전화를 했어요.	I made a domestic call.
국제 전화	international call
국제 전화를 했어요.	I made an international call.
인터넷 전화	internet call
인터넷 전화를 사용해요.	I use internet calls.
휴대폰 전화	mobile phone call
휴대폰 전화가 왔어요.	I received a mobile phone call.
전화하다	to make a call
친구에게 전화해요.	I call my friend.
전화를 걸다	to dial a call
전화를 걸었어요.	I dialed a call.
전화를 받다	to receive a call
전화를 받았어요.	I received a call.
전화를 바꾸다	to transfer a call
전화를 바꿨어요.	I transferred the call.
전화를 끊다	to hang up
전화를 끊었어요.	I hung up the call.
통화 중이다	the line is busy
통화 중이에요.	The line is busy.
벨이 울리다	the phone rings
벨이 울렸어요.	The phone rang.
잘못 걸다	to dial the wrong number
잘못 걸었어요.	I dialed the wrong number.
문자 메시지	text message
문자 메시지를 받았어요.	I received a text message.
문자를 보내다	to send a message
문자를 보냈어요.	I sent a message.
문자를 받다	to receive a message
문자를 받았어요.	I received a message.
충전하다	to charge (battery)
휴대폰을 충전해요.	I charge my mobile phone.
배터리가 나가다	battery is dead
배터리가 나갔어요.	The battery is dead.
문을 열어 주세요.	Please open the door.
오후에 전화할 거예요.	I will call in the afternoon.
이번에 토픽 시험 볼 거예요.	I will take the TOPIK exam this time.
점심에 고기랑 냉면을 먹을 거예요.	I will eat meat and cold noodles at lunch.
